id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT;evangelico
178954;LucioMosquini;Lucio Mosquini;pmdb;RO;sim;não votou;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;SIM;sim
141484;LucioVale;Lúcio Vale;pr;PA;não;sim;sim;sim;sim;sim;sim;sim;não votou;não;sim;sim;não;sim;sim;sim;não;sim;não;NAO;nao
94931;LucioVieiraLima;Lucio Vieira Lima;pmdb;BA;não votou;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;não votou;não votou;não votou;não votou;SIM;nao
73483;LuisCarlosHeinze;Luis Carlos Heinze;pp;RS;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;não;sim;não;SIM;nao
160510;LuisTibe;Luis Tibé;ptdob;MG;não votou;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;sim;sim;sim;não;não;sim;não;SIM;nao
74784;LuizaErundina;Luiza Erundina;psb;SP;não;não votou;não;não;não;não;não votou;não votou;não;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NAO;nao
141485;LuizCarlosBusato;Luiz Carlos Busato;ptb;RS;sim;não votou;sim;sim;não;não;sim;sim;sim;sim;não votou;sim;sim;sim;sim;não votou;não votou;não votou;não votou;SIM;nao
73778;LuizCarlosHauly;Luiz Carlos Hauly;psdb;PR;não votou;não votou;sim;não votou;sim;sim;sim;sim;sim;não;sim;sim;sim;não;não;não;não;sim;não;SIM;nao
178802;LuizCarlosRamos;Luiz Carlos Ramos;psdc;RJ;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;sim;não;SIM;nao
178955;LuizClaudio;Luiz Cláudio;pr;RO;sim;sim;abstção;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;abstenção;SIM;sim
74041;LuizCouto;Luiz Couto;pt;PB;não;sim;não;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO;nao
141487;LuizFernandoFaria;Luiz Fernando Faria;pp;MG;sim;não votou;sim;não votou;sim;sim;sim;não votou;sim;sim;sim;não votou;sim;sim;sim;sim;não;sim;sim;SIM;nao
178866;LuizianneLins;Luizianne Lins;pt;CE;não;sim;sim;não votou;não;não;não;não;não;não;não;sim;sim;não votou;não votou;sim;não;sim;não;NAO;nao
178982;LuizLauroFilho;Luiz Lauro Filho;psb;SP;não;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;não;não votou;sim;sim;não;sim;não;SIM;nao
162332;LuizNishimori;Luiz Nishimori;pr;PR;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM;nao
74688;LuizSergio;Luiz Sérgio;pt;RJ;não votou;sim;sim;não;não;não;não;não;não;não;sim;sim;sim;não votou;sim;sim;não;não votou;não;NAO;nao
178867;Macedo;Macedo;psl;CE;sim;sim;sim;não votou;não votou;não votou;7 sim;não;não;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;NAO;nao
